전체주중주말,주운행선,Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원
주말,경부선,2015-01-01,34020,1741181,1871129,496684.49379669165,37822.859888098385,533787.0924568394,15.054794352969703,183.87970504066388,9.691638546443782,0,218,0,6,212,84,84,154,1991,13164.713828574533
주말,경부선,2015-02-01,28992,1488544,1533571,434612.9461250232,32762.08739919777,447295.7995,12.361342393427897,159.1958765830076,8.033689553580997,0,188,46,6,136,72,72,132,1705,10793.213240892148
주말,경부선,2015-03-01,31246,1607627,1780862,454810.91658519837,34157.90687,503277.60527084646,14.399537629185884,173.1093386452283,9.011709796142855,0,196,0,0,196,78,78,143,1837,12604.742509263786
주말,경부선,2015-04-01,28848,1491483,1681821,424444.35460162495,31774.29778612763,478264.49585267727,13.528453671358923,160.29538674628907,8.596620006536417,0,195,0,0,195,72,72,132,1656,12186.130338128734
주말,경부선,2015-05-01,36102,1863967,2144330,531982.0939,40218.49723907493,611756.68,17.25137877430347,198.48186456506926,11.11625345,0,250,0,4,246,90,90,165,2072,15522.61846187918
주말,경부선,2015-06-01,28888,1483393,1125689,435541.6215731733,32015.509811652806,329390.2799353329,9.107812230014627,163.26697904262875,5.818152663245362,0,196,0,2,194,72,72,132,1658,8147.660548471048
주말,경부선,2015-07-01,31254,1609540,1549797,469603.3074039333,35028.81259164799,451694.96345453087,12.515883914199687,174.3239300521098,8.100472982,0,250,0,0,250,78,78,143,1794,11230.650327215219
주말,경부선,2015-08-01,32964,1677929,1773664,521993.06030037825,37907.38596243544,551666.3294273578,14.799312942526566,192.85296200369757,9.763416256340681,0,279,0,1,278,84,84,154,1932,12853.027215295362
주말,경부선,2015-09-01,28394,1461774,1585350,435359.23592263955,31106.57688251469,471392.2408931001,12.997687137596921,167.98006231189908,8.210679623,3,246,51,9,189,72,72,132,1674,11353.780735262213
주말,경부선,2015-10-01,32772,1681522,1939094,513922.9053214467,36892.95623559077,592221.4932289429,16.144039209513924,195.08369763495816,10.358295319073672,0,292,0,0,292,84,84,154,1931,14057.736471451582
주말,경부선,2015-11-01,30452,1570589,1900348,476268.12768454675,34159.61191504575,576152.7897511825,15.728675680821468,181.28349138707907,10.070496513602201,0,283,0,0,283,78,78,143,1793,13776.33377664736
주말,경부선,2015-12-01,28076,1444946,1588373,435578.0309723202,31497.721137157052,478691.4411565859,13.187566753970243,166.01793742476463,8.423611462,0,249,0,0,249,72,72,132,1654,11521.175512370733
주말,경부선,2016-01-01,35200,1803279,1872911,535833.5868456432,39679.26161889175,556452.7762684445,15.577704296809749,202.6131281274734,10.038839882354319,0,303,0,2,301,90,90,165,2068,13583.173611039296
주말,경부선,2016-02-01,28374,1452335,1515941,435420.8073407894,32027.430712404115,454230.0133898617,12.531991268181567,163.15507790846803,8.146761898051828,0,253,51,6,196,72,72,132,1670,10896.834756128623
주말,경부선,2016-03-01,28220,1443898,1555211,412495.2848660206,30183.28818305969,444256.45116371743,12.924831172675798,164.00326455786802,7.925604668108163,0,331,0,0,331,72,72,132,1656,11269.32974800737
주말,경부선,2016-04-01,32930,1684787,1936143,491756.1993745619,35883.530623034836,564857.9932212881,16.088087387613548,191.8589981285132,10.052068443049626,0,386,0,3,383,84,84,154,1936,13999.634969675799
주말,경부선,2016-05-01,30570,1564929,1848198,453004.90616713464,33438.60294589859,534697.5881714891,15.352902850969222,176.1432337538848,9.624425268,0,365,0,9,356,78,78,143,1802,13333.23829759695
